timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1551111640230,65,159 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/306918/ggcbizcd_10_new.jpg,200,OK,Thread Group 1-1,true,,57037,1,1,56,1,0,DESKTOP-SFCRRI9
1551111640296,33,160 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/307232/3pumd0bf_10_new.jpg,200,OK,Thread Group 1-1,true,,108904,1,1,17,1,0,DESKTOP-SFCRRI9
1551111640330,29,158 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/305962/n12yxmja_10_new.jpg,200,OK,Thread Group 1-1,true,,60002,1,1,21,1,0,DESKTOP-SFCRRI9
1551111640359,47,156 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/307066/g3m4kses_10_new.jpg,200,OK,Thread Group 1-1,true,,144073,1,1,13,1,0,DESKTOP-SFCRRI9
1551111640407,23,165 /assets/banner/2019/rightBanners/kadin/200219/images/party.jpg,200,OK,Thread Group 1-1,true,,73555,1,1,11,1,0,DESKTOP-SFCRRI9
1551111640430,21,169 /assets/banner/2019/rightBanners/kadin/200219/images/zarif.jpg,200,OK,Thread Group 1-1,true,,55475,1,1,15,1,0,DESKTOP-SFCRRI9
1551111640452,15,172 /assets/banner/2019/rightBanners/Evyasam/110219/04rr.jpg,200,OK,Thread Group 1-1,true,,30383,1,1,12,1,0,DESKTOP-SFCRRI9
1551111640467,24,167 /assets/banner/2019/rightBanners/kadin/200219/images/enerjik.jpg,200,OK,Thread Group 1-1,true,,83377,1,1,14,1,0,DESKTOP-SFCRRI9
1551111640492,44,170 /assets/banner/2019/rightBanners/kadin/140219/parcali_kadin.jpg,200,OK,Thread Group 1-1,true,,179143,1,1,11,1,0,DESKTOP-SFCRRI9
1551111640537,17,176 /assets/banner/2018/campaignBanners/visa.jpg,200,OK,Thread Group 1-1,true,,40943,1,1,14,1,0,DESKTOP-SFCRRI9
1551111640554,17,175 /assets/banner/2018/rightBanners/smallSize/elteBannerr.jpg,200,OK,Thread Group 1-1,true,,38140,1,1,15,1,0,DESKTOP-SFCRRI9
1551111640571,25,174 /assets/banner/2018/rightBanners/millaBanners/elite_050818_v2-r.jpg,200,OK,Thread Group 1-1,true,,81505,1,1,13,1,0,DESKTOP-SFCRRI9
1551111640596,25,168 /assets/banner/2019/rightBanners/kadin/200219/images/rahat.jpg,200,OK,Thread Group 1-1,true,,78130,1,1,15,1,0,DESKTOP-SFCRRI9
1551111640621,14,171 /assets/banner/2019/rightBanners/Evyasam/110219/01rr.jpg,200,OK,Thread Group 1-1,true,,26684,1,1,13,1,0,DESKTOP-SFCRRI9
1551111640636,21,180 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/307107/hau3p4yr_10_new.jpg,200,OK,Thread Group 1-1,true,,72366,1,1,14,1,0,DESKTOP-SFCRRI9
1551111640658,20,181 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/306645/2hhqisby_10_new.jpg,200,OK,Thread Group 1-1,true,,59663,1,1,13,1,0,DESKTOP-SFCRRI9
1551111640679,26,182 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/305618/1j0v0uww_10_new.jpg,200,OK,Thread Group 1-1,true,,91948,1,1,13,1,0,DESKTOP-SFCRRI9
1551111640706,28,183 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/307196/cf0xo3f2_10_new.jpg,200,OK,Thread Group 1-1,true,,98443,1,1,13,1,0,DESKTOP-SFCRRI9
1551111640735,26,184 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/307019/3yuxjtwq_10_new.jpg,200,OK,Thread Group 1-1,true,,69543,1,1,15,1,0,DESKTOP-SFCRRI9
1551111640761,23,185 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/306463/4jk3pqua_0_new.jpg,200,OK,Thread Group 1-1,true,,72367,1,1,14,1,0,DESKTOP-SFCRRI9
1551111640784,22,186 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/305561/ltv2btdu_10_new.jpg,200,OK,Thread Group 1-1,true,,64254,1,1,12,1,0,DESKTOP-SFCRRI9
1551111640806,32,187 //Assets/ProductImages/OA/CampaignVisual/OriginalBoutiqueImages/37576/ro2vnahw_10_new.jpg,200,OK,Thread Group 1-1,true,,108354,1,1,13,1,0,DESKTOP-SFCRRI9
